name,street_number,street,city,postal_code,state,country
Eva's Cafe,1447,N Sedgwick Ave,Chicago,60610,IL,USA
Java & Mug Cafe,3247,W Bryn Mawr Ave,Chicago,60659,IL,USA
Oak Park Public Library Maze Branch,845,Gunderson Ave,Oak Park,60304,IL,USA
Sip of Hope,3039,W Fullerton Ave,Chicago,60647,IL,USA
"Chicago Public Library, West Loop",122,N Aberdeen St,Chicago,60607,IL,USA
Library of Health Sciences,1750,W Polk St,Chicago,60612,IL,USA
Stivers Coffee,2215,S Union Ave,Chicago,60616,IL,USA
Star Lounge Coffee Bar,2521,W Chicago Ave,Chicago,60622,IL,USA
Dollor Coffee and Tea,4181,N Clarendon Ave,Chicago,60613,IL,USA
Osmium Coffee Bar,1117,W Belmont Ave,Chicago,60657,IL,USA
Two Zero Three,203,N Wabash Ave,Chicago,60601,IL,USA
Skokie Public Library,5215,Oakton St,Chicago,60077,IL,USA
FrontBar,1700,N Halsted St,Chicago,60614,IL,USA
The Long Room,1612,W Irving Park Rd,Chicago,60613,IL,USA
The Map Room,1949,N Hoyne Ave,Chicago,60647,IL,USA
Intelligentsia Coffee Lakeview,3123,N Broadway St,Chicago,60657,IL,USA
"Chicago Public Library, Merlo",644,W Belmont Ave,Chicago,60657,IL,USA
Rewired Coffee Lakeview,3508,N Broadway Ave,Chicago,60657,IL,USA
Chicago Lakefront Path Lawn,1600,N Lake Shore Dr,Chicago,60657,IL,USA
